#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	4753955	29	Y	N	1	*	4
contig_2	26132	18	N	Y	1	2	*,2,*
contig_15	23340	19	Y	N	1	*	15
contig_16	20073	42	Y	N	1	*	16
contig_3	18855	17	N	N	1	*	*,3,*
contig_10	18762	26	Y	N	2	*	10
contig_14	11857	102	Y	Y	3	*	14
contig_8	11384	27	Y	N	3	*	8
contig_7	10802	69	Y	N	2	*	7
contig_13	10494	23	Y	N	1	*	13
contig_9	9730	37	Y	N	2	*	9
contig_6	9639	24	Y	N	3	*	6
contig_12	9396	58	Y	N	3	*	12
contig_11	9295	109	Y	N	6	*	11
contig_5	750	191	Y	Y	7	*	5
