plasmid_name,plasmid_acc,plasmid_len,copy_number
p00_len07590_cp08,NZ_CP138402.1,7590,8
p01_len07768_cp15,NZ_CP075643.1,7768,15
p02_len07980_cp25,NZ_ON209486.1,7980,25
p03_len08236_cp08,NZ_MH813944.1,8236,8
p04_len08398_cp15,CP035011.1,8398,15
p05_len08401_cp25,NZ_OP038268.1,8401,25
p06_len08401_cp08,NZ_CP023647.1,8401,8
p07_len08622_cp15,CP057862.1,8622,15
p08_len08828_cp25,CP137453.1,8828,25
p09_len09083_cp08,NZ_OP009360.1,9083,8
p10_len09250_cp15,NZ_CP098125.1,9250,15
p11_len09294_cp25,NZ_CP125114.1,9294,25
p12_len09294_cp08,NZ_CP061395.1,9294,8
p13_len09294_cp15,NZ_CP092595.1,9294,15
p14_len09396_cp25,NZ_AP027803.1,9396,25
p15_len09639_cp08,NZ_CP110882.1,9639,8
p16_len09730_cp15,NZ_CP103506.1,9730,15
p17_len10046_cp25,CP155663.1,10046,25
p18_len10060_cp08,NZ_CP147162.1,10060,8
p19_len10060_cp15,NZ_CP101729.1,10060,15
p20_len10060_cp25,NZ_CP031718.1,10060,25
p21_len10494_cp08,LC744501.1,10494,8
p22_len10650_cp15,NZ_CP148284.1,10650,15
p23_len10802_cp25,NZ_CP104839.1,10802,25
p24_len11246_cp08,CP050748.1,11246,8
p25_len11675_cp15,NZ_CP083838.1,11675,15
p26_len11857_cp25,CP055461.1,11857,25
