tag,segment,log10_length,relative_depth,delta_gc,degree,component_size,n_components,depth_x_length,_raw_len,_raw_depth,_gc
wick_Acinetobacter_baumannii_J9,edge_1,5.16144,1.47826,0.02071,0,1,3,7.62995,145024,34.0,0.4104
wick_Acinetobacter_baumannii_J9,edge_2,6.57949,1.0,0.0,0,1,3,6.57949,3797458,23.0,0.38969
wick_Acinetobacter_baumannii_J9,edge_3,4.08436,13.34783,0.00269,0,1,3,54.51735,12144,307.0,0.39237
wick_Citrobacter_koseri_MINF_9D,edge_1,6.67736,1.0,0.0,0,1,7,6.67736,4757276,47.0,0.53805
wick_Citrobacter_koseri_MINF_9D,edge_2,2.95376,0.0,-0.07643,0,1,7,0.0,899,0.0,0.46162
wick_Citrobacter_koseri_MINF_9D,edge_3,4.09506,2.25532,-0.04677,0,1,7,9.23568,12447,106.0,0.49128
wick_Citrobacter_koseri_MINF_9D,edge_4,4.77268,3.38298,-0.0227,0,1,7,16.14588,59249,159.0,0.51535
wick_Citrobacter_koseri_MINF_9D,edge_5,2.88024,0.0,-0.02685,0,1,7,0.0,759,0.0,0.5112
wick_Citrobacter_koseri_MINF_9D,edge_6,3.81338,3.2766,-0.01877,0,1,7,12.49491,6507,154.0,0.51929
wick_Citrobacter_koseri_MINF_9D,edge_7,3.96741,12.61702,0.01342,0,1,7,50.05687,9277,593.0,0.55147
wick_Enterobacter_kobei_MSB1_1B,edge_1,6.68449,1.0,0.0,0,1,8,6.68449,4836021,27.0,0.55003
wick_Enterobacter_kobei_MSB1_1B,edge_2,5.13487,1.0,-0.02605,0,1,8,5.13487,136418,27.0,0.52398
wick_Enterobacter_kobei_MSB1_1B,edge_3,4.69355,0.03704,-0.0139,0,1,8,0.17384,49380,1.0,0.53613
wick_Enterobacter_kobei_MSB1_1B,edge_4,4.69357,0.2963,-0.0139,0,1,8,1.39069,49382,8.0,0.53613
wick_Enterobacter_kobei_MSB1_1B,edge_5,2.73159,0.0,-0.12702,0,1,8,0.0,539,0.0,0.42301
wick_Enterobacter_kobei_MSB1_1B,edge_6,2.74273,0.62963,-0.12688,0,1,8,1.7269,553,17.0,0.42315
wick_Enterobacter_kobei_MSB1_1B,edge_7,5.3367,0.81481,-0.01566,0,1,8,4.34842,217121,22.0,0.53437
wick_Enterobacter_kobei_MSB1_1B,edge_8,3.96788,13.59259,-0.03899,0,1,8,53.93371,9287,367.0,0.51104
wick_Haemophilus_unknown_M1C132_1,edge_1,6.31205,1.0,0.0,0,1,4,6.31205,2051406,40.0,0.38496
wick_Haemophilus_unknown_M1C132_1,edge_2,4.02946,9.575,-0.09314,0,1,4,38.58213,10702,383.0,0.29181
wick_Haemophilus_unknown_M1C132_1,edge_3,4.59504,5.625,-0.02351,0,1,4,25.84712,39359,225.0,0.36144
wick_Haemophilus_unknown_M1C132_1,edge_4,4.2994,14.55,0.05193,0,1,4,62.55625,19925,582.0,0.43689
wick_Klebsiella_oxytoca_MSB1_2C,edge_1,5.07212,3.25,-0.02906,0,1,7,16.48438,118064,26.0,0.52286
