isolate,arm,chromosome_acc,chromosome_len,plasmid_name,plasmid_acc,plasmid_len,plasmid_len_original,stratum,stratum_designed,analysis_set,copy_number,organism,gc,repeat_family,repeat_role,repeat_copies_in_plasmid,repeat_bases_in_plasmid,repeat_frac,cointegrated,isolate_seed
sim01,r10_hq,GCF_000597845.1,4849470,plasmid_1,NZ_CP132947.1,10077,10077,small,small,interventional,25,Klebsiella pneumoniae,0.5511,IS_sim01,absorb,0,0,0.0,false,20360811
sim01,r10_hq,GCF_000597845.1,4849470,plasmid_2,CP052411.1,10071,10071,small,small,interventional,12,Klebsiella pneumoniae,0.5495,IS_sim01,absorb,0,0,0.0,false,20360811
sim01,r10_hq,GCF_000597845.1,4849470,plasmid_3,NZ_CP003998.1,81071,81071,medium,medium,interventional,1,Klebsiella pneumoniae,0.5112,IS_sim01,absorb,0,0,0.0,true,20360811
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_1,NZ_CP051355.1,10454,10454,small,small,interventional,12,Salmonella enterica,0.5200,,,0,0,0.0,false,20360812
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_2,CP017388.1,10077,10077,small,small,interventional,17,Klebsiella pneumoniae,0.5508,,,0,0,0.0,false,20360812
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_3,CP114146.1,76880,76880,medium,medium,interventional,3,Enterobacter hormaechei,0.5436,,,0,0,0.0,false,20360812
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_4,NZ_OW967976.1,106879,106879,large,large,interventional,2,Escherichia coli,0.5024,,,0,0,0.0,false,20360812
sim03,r10_hq,GCF_000599645.1,4875682,plasmid_1,NZ_CP050864.1,7120,7120,tiny,tiny,deterministic_tiny,15,Escherichia coli,0.4778,,,0,0,0.0,false,20360813
sim03,r10_hq,GCF_000599645.1,4875682,plasmid_2,AP022383.1,10123,10123,small,small,interventional,18,Citrobacter freundii,0.5465,,,0,0,0.0,false,20360813
sim03,r10_hq,GCF_000599645.1,4875682,plasmid_3,NC_009793.1,9294,9294,small,small,interventional,25,Citrobacter koseri,0.5518,,,0,0,0.0,false,20360813
sim03,r10_hq,GCF_000599645.1,4875682,plasmid_4,NZ_CP043379.1,37493,37493,medium,medium,interventional,6,Klebsiella pneumoniae,0.4929,,,0,0,0.0,false,20360813
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_1,NZ_CP103506.1,9730,9730,small,small,interventional,12,Klebsiella pneumoniae,0.5322,,,0,0,0.0,false,20360814
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_2,NC_015515.1,10497,10497,small,small,interventional,25,Enterobacter sp.,0.5043,,,0,0,0.0,false,20360814
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_3,LC567061.1,112637,112637,large,large,interventional,1,Escherichia coli,0.5012,,,0,0,0.0,false,20360814
sim05,r10_hq,GCF_000599685.1,4998910,plasmid_1,NZ_CP075555.1,8801,8801,small,small,interventional,18,Klebsiella pneumoniae,0.5644,,,0,0,0.0,false,20360815
sim05,r10_hq,GCF_000599685.1,4998910,plasmid_2,NZ_CP116096.1,86167,86167,medium,medium,interventional,2,Escherichia coli,0.4966,,,0,0,0.0,false,20360815
sim06,r9_raw,GCF_000599705.1,5132153,plasmid_1,NZ_CP097671.1,10033,10033,small,small,interventional,18,Klebsiella pneumoniae,0.5501,IS_sim06,absorb,0,0,0.0,false,20360816
sim06,r9_raw,GCF_000599705.1,5132153,plasmid_2,NZ_AP027751.1,8818,8818,small,small,interventional,10,Escherichia coli,0.5828,IS_sim06,absorb,0,0,0.0,false,20360816
sim06,r9_raw,GCF_000599705.1,5132153,plasmid_3,NZ_CP035471.1,37447,37447,medium,medium,interventional,1,Escherichia coli,0.5020,IS_sim06,absorb,0,0,0.0,true,20360816
sim06,r9_raw,GCF_000599705.1,5132153,plasmid_4,NZ_CP041434.1,80039,80039,medium,medium,interventional,6,Escherichia coli,0.5007,IS_sim06,absorb,0,0,0.0,false,20360816
sim07,r10_hq,GCF_000784925.1,5430912,plasmid_1,NZ_CP148491.1,1552,1552,tiny,tiny,deterministic_tiny,20,Escherichia coli,0.5187,IS_sim07,absorb,0,0,0.0,false,20360817
