#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_7	1982185	14	N	N	1	*	3,7,-11
contig_10	1057026	14	N	N	1	*	10,11
contig_8	1055456	14	N	N	1	*	*,8,3
contig_9	639345	13	N	N	1	*	*,9
contig_17	48503	43	N	Y	3	*	17
contig_3	36394	47	N	Y	4	*	3
contig_1	7684	149	Y	Y	11	*	1
contig_16	5531	19	N	Y	1	4	*,16,*
contig_2	5530	20	N	Y	10	2	*,2,*
contig_5	4577	5	N	N	1	*	*,5,*
contig_15	4245	48	N	Y	3	2	*,15,*
contig_13	3416	10	N	Y	1	6	*,13,*
contig_6	3264	15	Y	Y	1	*	6
contig_14	567	69	Y	Y	5	*	14
