segment,seg_len,node_positive,mechanisms
edge_1,927,0,
edge_2,650,0,
edge_3,4266,0,
edge_4,247827,0,
edge_5,3765,0,
edge_6,84608,0,
edge_7,27079,0,
edge_8,7381,0,
edge_9,36330,0,
edge_10,286193,0,
edge_11,814,0,
edge_12,501,0,
edge_13,5240,0,
edge_14,3744786,0,
edge_15,3424,0,
edge_16,1230,0,
edge_17,1729,0,
edge_18,2411,0,
edge_19,1059,0,
edge_20,1619,0,
edge_21,605,0,
edge_22,1464,0,
edge_23,661,0,
edge_24,581,0,
edge_25,952,0,
edge_26,201617,0,
edge_27,7247,0,
edge_28,1135,0,
edge_29,1983,0,
edge_30,5139,0,
edge_31,5408,0,
edge_32,57007,0,
edge_33,4175,0,
edge_34,4251,0,
edge_35,18177,0,
edge_36,35999,0,
edge_37,70830,0,
