tag,segment,log10_length,relative_depth,delta_gc,degree,component_size,n_components,depth_x_length,_raw_len,_raw_depth,_gc
sim01_lig_d15,edge_1,6.67748,1.0,0.0,0,1,2,6.67748,4758644,14.0,0.51105
sim01_lig_d15,edge_2,4.81476,2.92857,-0.07027,0,1,2,14.10037,65277,41.0,0.44078
sim01_lig_d30,edge_1,6.67748,1.0,0.0,0,1,2,6.67748,4758618,29.0,0.51106
sim01_lig_d30,edge_2,4.81476,2.7931,-0.07028,0,1,2,13.44812,65277,81.0,0.44078
sim01_rap_d15,edge_1,6.67748,1.0,0.0,0,1,4,6.67748,4758602,14.0,0.51106
sim01_rap_d15,edge_2,2.89982,3.5,-0.01483,0,1,4,10.14937,794,49.0,0.49622
sim01_rap_d15,edge_3,2.88309,2.85714,-0.00451,0,1,4,8.23741,764,40.0,0.50654
sim01_rap_d15,edge_4,4.81476,3.0,-0.07027,0,1,4,14.44428,65277,42.0,0.44078
sim01_rap_d30,edge_1,6.67748,1.0,0.0,0,1,4,6.67748,4758620,28.0,0.51106
sim01_rap_d30,edge_2,3.05269,0.0,-0.11337,0,1,4,0.0,1129,0.0,0.3977
sim01_rap_d30,edge_3,3.23955,0.35714,-0.09459,0,1,4,1.15698,1736,10.0,0.41647
sim01_rap_d30,edge_4,4.81476,2.85714,-0.07028,0,1,4,13.75646,65277,80.0,0.44078
sim02_lig_d15,edge_1,6.68193,1.0,0.0,0,1,4,6.68193,4807573,14.0,0.51037
sim02_lig_d15,edge_2,4.91507,3.64286,0.00843,0,1,4,17.90491,82238,51.0,0.5188
sim02_lig_d15,edge_3,4.40518,2.21429,-0.00231,0,1,4,9.75432,25420,31.0,0.50806
sim02_lig_d15,edge_4,5.2236,0.92857,0.0082,0,1,4,4.85049,167341,13.0,0.51858
sim02_lig_d30,edge_1,5.22344,1.10714,0.00828,0,1,3,5.7831,167280,31.0,0.51865
sim02_lig_d30,edge_2,6.68195,1.0,0.0,0,1,3,6.68195,4807875,28.0,0.51037
sim02_lig_d30,edge_3,4.9156,3.75,0.00909,0,1,3,18.4335,82338,105.0,0.51946
sim02_rap_d15,edge_1,6.68192,1.0,0.0,0,1,5,6.68192,4807553,13.0,0.51037
sim02_rap_d15,edge_2,4.05607,8.53846,0.05696,0,1,5,34.63256,11378,111.0,0.56732
sim02_rap_d15,edge_3,4.404,3.76923,-0.00214,0,1,5,16.59967,25351,49.0,0.50822
sim02_rap_d15,edge_4,4.9151,4.30769,0.00852,0,1,5,21.17273,82243,56.0,0.51889
