accession,genus,organism,length,gc,n_frac,verdict,reason
NZ_CP139252.1,Acinetobacter,Acinetobacter pittii,23644,0.3332,0.000000,keep,
NZ_CP139269.1,Acinetobacter,Acinetobacter pittii,5168,0.3377,0.000000,keep,
NZ_CP139268.1,Acinetobacter,Acinetobacter pittii,5882,0.3558,0.000000,keep,
NZ_CP139267.1,Acinetobacter,Acinetobacter pittii,115839,0.3865,0.000000,keep,
NZ_CP139215.1,Bacillus,Bacillus cereus,590668,0.3221,0.000000,reject,F3_chromosome_sized
NZ_CP139274.1,Acinetobacter,Acinetobacter pittii,5688,0.3493,0.000000,keep,
NZ_CP139273.1,Acinetobacter,Acinetobacter pittii,11158,0.3511,0.000000,keep,
NZ_CP139272.1,Acinetobacter,Acinetobacter pittii,57394,0.3703,0.000000,keep,
NZ_CP139271.1,Acinetobacter,Acinetobacter pittii,100717,0.3883,0.000000,keep,
NZ_CP139281.1,Acinetobacter,Acinetobacter pittii,3964,0.3615,0.000000,keep,
NZ_CP139280.1,Acinetobacter,Acinetobacter pittii,4741,0.3925,0.000000,keep,
NZ_CP139279.1,Acinetobacter,Acinetobacter pittii,5061,0.3308,0.000000,keep,
NZ_CP139278.1,Acinetobacter,Acinetobacter pittii,10491,0.3503,0.000000,keep,
NZ_CP139277.1,Acinetobacter,Acinetobacter pittii,85134,0.3803,0.000000,keep,
NZ_CP139261.1,Acinetobacter,Acinetobacter pittii,9973,0.3400,0.000000,keep,
NZ_CP139260.1,Acinetobacter,Acinetobacter pittii,10476,0.3334,0.000000,keep,
NZ_CP139259.1,Acinetobacter,Acinetobacter pittii,138669,0.3842,0.000000,keep,
NZ_CP139207.1,Acinetobacter,Acinetobacter baumannii,1691,0.4080,0.000000,keep,
NZ_CP139206.1,Acinetobacter,Acinetobacter baumannii,5821,0.3326,0.000000,keep,
NZ_CP139205.1,Acinetobacter,Acinetobacter baumannii,93710,0.4208,0.000000,keep,
NZ_CP139138.1,Chryseobacterium,Chryseobacterium sp.,70424,0.3618,0.000000,keep,
NZ_CP139289.1,Acinetobacter,Acinetobacter pittii,11158,0.3510,0.000000,keep,
NZ_CP139288.1,Acinetobacter,Acinetobacter pittii,64705,0.3876,0.000000,keep,
NZ_CP139133.1,Escherichia,Escherichia coli,4072,0.4998,0.000000,keep,
NZ_CP139132.1,Escherichia,Escherichia coli,4145,0.5083,0.000000,keep,
NZ_CP139131.1,Escherichia,Escherichia coli,103087,0.4987,0.000000,keep,
NZ_CP139265.1,Acinetobacter,Acinetobacter pittii,8928,0.3483,0.000000,keep,
NZ_CP139264.1,Acinetobacter,Acinetobacter pittii,22476,0.3543,0.000000,keep,
NZ_CP139263.1,Acinetobacter,Acinetobacter pittii,98706,0.3637,0.000000,keep,
NZ_CP139257.1,Acinetobacter,Acinetobacter pittii,8123,0.3417,0.000000,keep,
NZ_CP139256.1,Acinetobacter,Acinetobacter pittii,11158,0.3511,0.000000,keep,
NZ_CP139193.1,Bacillus,Bacillus sonorensis,8377,0.4412,0.000000,keep,
NZ_CP139192.1,Bacillus,Bacillus sonorensis,8033,0.4371,0.000000,keep,
NZ_CP139191.1,Bacillus,Bacillus sonorensis,7307,0.4505,0.000000,keep,
OY842570.1,Escherichia,Escherichia coli,17067,0.4827,0.000000,reject,F2_not_complete
OY856305.1,Escherichia,Escherichia coli,6645,0.4850,0.000000,reject,F2_not_complete
OY856304.1,Escherichia,Escherichia coli,125396,0.5038,0.000000,reject,F2_not_complete
OY856298.1,Escherichia,Escherichia coli,6646,0.4853,0.000000,reject,F2_not_complete
OY856297.1,Escherichia,Escherichia coli,125390,0.5039,0.000000,reject,F2_not_complete
NZ_CP139250.1,Acinetobacter,Acinetobacter pittii,7614,0.3153,0.000000,keep,
NZ_CP139169.1,Robbsia,Robbsia andropogonis,210877,0.5580,0.000000,keep,
NZ_CP139168.1,Robbsia,Robbsia andropogonis,206007,0.5698,0.000000,keep,
NZ_CP139167.1,Robbsia,Robbsia andropogonis,176508,0.5638,0.000000,keep,
NZ_CP139165.1,Robbsia,Robbsia andropogonis,124042,0.5696,0.000000,keep,
NZ_CP139051.1,Acinetobacter,Acinetobacter haemolyticus,2966,0.3864,0.000000,keep,
NZ_CP139050.1,Acinetobacter,Acinetobacter haemolyticus,6844,0.3856,0.000000,keep,
NZ_CP139049.1,Acinetobacter,Acinetobacter haemolyticus,156339,0.4072,0.000000,keep,
NZ_CP139082.1,Pediococcus,Pediococcus inopinatus,16138,0.4128,0.000000,keep,
NZ_CP139081.1,Pediococcus,Pediococcus inopinatus,51246,0.3845,0.000000,keep,
NZ_OR724987.1,Escherichia,Escherichia coli,237334,0.4613,0.000000,keep,
NZ_OR724985.1,Escherichia,Escherichia coli,181092,0.4668,0.000000,keep,
NZ_OR724979.1,Escherichia,Escherichia coli,278947,0.4762,0.000000,keep,
NZ_OR724976.1,Escherichia,Escherichia coli,245550,0.4667,0.000000,keep,
NZ_OR652289.1,Pseudomonas,Pseudomonas aeruginosa,421855,0.5647,0.000000,keep,
NZ_OR724978.1,Escherichia,Escherichia coli,240353,0.4664,0.000000,keep,
NZ_OR724977.1,Escherichia,Escherichia coli,291022,0.4655,0.000000,keep,
NZ_OR724974.1,Escherichia,Escherichia coli,242799,0.4710,0.000000,keep,
NZ_OR724984.1,Escherichia,Escherichia coli,257485,0.4601,0.000000,keep,
NZ_OR724975.1,Escherichia,Escherichia coli,242799,0.4710,0.000000,keep,
NZ_OR724986.1,Escherichia,Escherichia coli,217572,0.4614,0.000000,keep,
NZ_OR724973.1,Escherichia,Escherichia coli,172270,0.4661,0.000000,keep,
NZ_CP096374.1,Providencia,Providencia sp.,239343,0.4712,0.000000,keep,
NZ_CP096368.1,Providencia,Providencia sp.,134802,0.5204,0.000000,keep,
NZ_CP096375.1,Providencia,Providencia sp.,152308,0.5088,0.000000,keep,
NZ_CP138193.1,Enterobacter,Enterobacter roggenkampii,80926,0.5131,0.000000,keep,
NZ_OR652290.1,Pseudomonas,Pseudomonas aeruginosa,3430,0.5423,0.000000,keep,
NZ_CP096370.1,Providencia,Providencia sp.,37139,0.5615,0.000000,keep,
NZ_OR753269.1,Escherichia,Escherichia coli,33304,0.4184,0.000000,keep,
