segment,seg_len,node_positive,mechanisms
edge_1,569,0,
edge_2,29499,0,
edge_3,4004516,0,
edge_4,562,0,
edge_5,576,0,
edge_6,1059,0,
edge_7,1914,0,
edge_8,7901,0,
edge_9,201619,0,
edge_10,1130,0,
edge_11,487788,0,
edge_12,5398,0,
edge_13,3559,0,
edge_14,5045,0,
edge_15,1067,0,
edge_16,4167,0,
edge_17,3424,0,
edge_18,952,0,
edge_19,5176,0,
edge_20,40094,0,
edge_21,7379,0,
edge_22,3433,1,fragmented
edge_23,818,1,fragmented
edge_24,589,0,
edge_25,905,0,
edge_26,670,0,
edge_27,517,0,
edge_28,18188,0,
edge_29,1787,0,
edge_30,70830,0,
