#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	4752482	27	Y	N	1	*	4
contig_8	34712	10	N	N	1	*	*,8,*
contig_9	21769	57	Y	N	2	*	9
contig_7	18458	31	N	N	1	*	*,7,*
contig_18	17656	56	Y	N	3	*	18
contig_5	11857	206	Y	Y	8	*	5
contig_6	11251	50	Y	N	1	*	6
contig_10	10494	44	Y	N	2	*	10
contig_12	10060	268	Y	Y	10	*	12
contig_2	10046	137	Y	N	5	*	2
contig_1	9730	69	Y	N	2	*	1
contig_13	9639	38	Y	N	3	*	13
contig_11	9396	134	Y	N	5	*	11
contig_15	9294	204	Y	N	8	*	15
contig_17	9268	80	Y	N	4	*	17
contig_16	9083	42	Y	N	3	*	16
contig_14	8622	60	Y	N	6	*	14
contig_3	8400	150	Y	N	6	*	3
