plasmid,plasmid_len,label,best_segment,best_cov_frac,best_segment_len,cumulative_cov_frac,n_support,support
p00_len07590_cp08,7590,gray_50_95,edge_4,0.6448,4752482,0.6448,1,edge_4
p01_len07768_cp15,7768,absent,edge_17,0.1061,9268,0.1061,1,edge_17
p02_len07980_cp25,7980,absent,edge_17,0.2793,9268,0.2793,1,edge_17
p03_len08236_cp08,8236,absent,edge_4,0.1872,4752482,0.1872,1,edge_4
p04_len08398_cp15,8398,gray_50_95,edge_4,0.6093,4752482,0.8849,2,edge_3;edge_4
p05_len08401_cp25,8401,recovered,edge_3,0.9999,8400,0.9999,1,edge_3
p06_len08401_cp08,8401,fragmented,edge_3,0.7102,8400,0.9744,2,edge_3;edge_4
p07_len08622_cp15,8622,recovered,edge_14,1.0,8622,1.0,1,edge_14
p08_len08828_cp25,8828,recovered,edge_18,1.0,17656,1.0,1,edge_18
p09_len09083_cp08,9083,recovered,edge_16,1.0,9083,1.0,1,edge_16
p10_len09250_cp15,9250,gray_50_95,edge_17,0.7734,9268,0.7734,1,edge_17
p11_len09294_cp25,9294,recovered,edge_15,0.9887,9294,0.9887,1,edge_15
p12_len09294_cp08,9294,recovered,edge_15,1.0,9294,1.0,1,edge_15
p13_len09294_cp15,9294,recovered,edge_15,1.0,9294,1.0,1,edge_15
p14_len09396_cp25,9396,recovered,edge_11,1.0,9396,1.0,1,edge_11
p15_len09639_cp08,9639,recovered,edge_13,1.0,9639,1.0,1,edge_13
p16_len09730_cp15,9730,recovered,edge_1,1.0,9730,1.0,1,edge_1
p17_len10046_cp25,10046,recovered,edge_2,1.0,10046,1.0,1,edge_2
p18_len10060_cp08,10060,recovered,edge_12,1.0,10060,1.0,1,edge_12
p19_len10060_cp15,10060,recovered,edge_12,1.0,10060,1.0,1,edge_12
p20_len10060_cp25,10060,recovered,edge_12,1.0,10060,1.0,2,edge_1;edge_12
p21_len10494_cp08,10494,recovered,edge_10,1.0,10494,1.0,1,edge_10
p22_len10650_cp15,10650,recovered,edge_7,1.0,18458,1.0,1,edge_7
p23_len10802_cp25,10802,absorbed,edge_8,1.0,34712,1.0,1,edge_8
p24_len11246_cp08,11246,recovered,edge_6,1.0,11251,1.0,1,edge_6
p25_len11675_cp15,11675,recovered,edge_9,1.0,21769,1.0,1,edge_9
p26_len11857_cp25,11857,recovered,edge_5,0.9928,11857,0.9928,1,edge_5
