#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	1893336	14	N	N	1	*	*,4,-10
contig_11	1346554	14	N	N	1	*	*,11,-10
contig_7	1082219	14	N	N	1	*	7
contig_13	461424	13	N	N	1	*	*,13,*
contig_2	192177	13	N	N	1	*	25,2,5,9,-8,5,9
contig_21	111438	13	Y	N	1	*	21
contig_20	54241	55	Y	Y	4	*	20
contig_1	12727	15	N	N	3	*	25,1,3,5,9,-8,6
contig_26	10440	185	Y	Y	15	*	26
contig_16	6382	4	N	N	1	*	*,16,*
contig_23	5378	8	N	Y	1	4	*,23,*
contig_18	4369	10	N	Y	1	2	*,18,*
contig_24	3285	432	Y	Y	33	*	24
contig_15	954	28	Y	Y	2	*	15
contig_17	741	17	Y	Y	1	*	17
contig_14	630	83	Y	Y	6	*	14
