segment,seg_len,node_positive,mechanisms
edge_1,210256,0,
edge_2,5215,0,
edge_3,3980,0,
edge_4,56271,1,fragmented
edge_5,2327,0,
edge_6,1617,0,
edge_7,24728,0,
edge_8,778,0,
edge_9,791,0,
edge_10,5385,0,
edge_11,1225619,0,
edge_12,5918,0,
edge_13,3954,0,
edge_14,1708037,0,
edge_15,4319,0,
edge_16,553488,0,
edge_17,1147,0,
edge_18,537,0,
edge_19,2156,0,
edge_20,871,0,
edge_21,2478,0,
edge_22,7335,0,
edge_23,1181,0,
edge_24,1025,0,
edge_25,557,0,
edge_26,3230,0,
edge_27,4056,0,
edge_28,1103301,0,
edge_29,8601,1,fragmented
edge_30,48086,0,
edge_31,9086,0,
