isolate,arm,chromosome_acc,chromosome_len,plasmid_name,plasmid_acc,plasmid_len,stratum,copy_number,organism,gc
sim01,r10_hq,GCF_000597845.1,4758629,plasmid_1,NZ_AP021982.1,2760,small,32,Klebsiella sp.,0.4649
sim01,r10_hq,GCF_000597845.1,4758629,plasmid_2,NZ_CP075855.1,7684,small,31,Escherichia coli,0.4487
sim01,r10_hq,GCF_000597845.1,4758629,plasmid_3,NZ_CP081195.1,84890,medium,3,Escherichia coli,0.5236
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_1,NZ_CP110174.1,3809,small,16,Klebsiella pneumoniae,0.4587
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_2,MZ382872.1,59300,medium,5,Enterobacter cloacae,0.5241
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_3,CP155720.1,247964,large,1,Klebsiella pneumoniae,0.5253
sim03,r10_hq,GCF_000599645.1,4875682,plasmid_1,NZ_CP071085.1,4251,small,39,Klebsiella pneumoniae,0.5241
sim03,r10_hq,GCF_000599645.1,4875682,plasmid_2,NZ_AP026787.1,2756,small,24,Escherichia coli,0.3218
sim03,r10_hq,GCF_000599645.1,4875682,plasmid_3,NZ_CP055191.1,4167,small,11,Klebsiella pneumoniae,0.4149
sim03,r10_hq,GCF_000599645.1,4875682,plasmid_4,NZ_CP016919.1,70830,medium,2,Klebsiella pneumoniae,0.5292
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_1,NZ_AP022075.1,3272,small,24,Escherichia coli,0.4581
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_2,NZ_CP122683.1,55377,medium,6,Escherichia coli,0.4483
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_3,NZ_CP099334.1,89104,medium,2,Escherichia fergusonii,0.4842
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_4,NZ_CP051335.1,159544,large,2,Salmonella enterica,0.5154
sim05,r10_hq,GCF_000599685.1,4998910,plasmid_1,NZ_OP242308.1,3285,small,39,Escherichia coli,0.4301
sim05,r10_hq,GCF_000599685.1,4998910,plasmid_2,NZ_CP140627.1,5219,small,29,Shigella sonnei,0.4873
sim05,r10_hq,GCF_000599685.1,4998910,plasmid_3,CP027617.1,54242,medium,4,Klebsiella pneumoniae,0.5176
sim05,r10_hq,GCF_000599685.1,4998910,plasmid_4,CP116019.1,111466,large,1,Salmonella enterica,0.5438
sim06,r9_raw,GCF_000599705.1,5090442,plasmid_1,NZ_CP053869.1,8688,small,11,Salmonella enterica,0.6096
sim06,r9_raw,GCF_000599705.1,5090442,plasmid_2,NZ_AP027710.1,79507,medium,4,Escherichia coli,0.4723
sim07,r10_hq,GCF_000784925.1,5310511,plasmid_1,NZ_CP019021.1,1459,small,13,Escherichia coli,0.5093
sim07,r10_hq,GCF_000784925.1,5310511,plasmid_2,NZ_LR890682.1,5783,small,26,Klebsiella pneumoniae,0.4740
sim07,r10_hq,GCF_000784925.1,5310511,plasmid_3,CP088495.1,59598,medium,5,Escherichia coli,0.5165
sim07,r10_hq,GCF_000784925.1,5310511,plasmid_4,NZ_CP098429.1,54593,medium,4,Klebsiella pneumoniae,0.5180
sim07,r10_hq,GCF_000784925.1,5310511,plasmid_5,NZ_CP097192.1,192753,large,1,Klebsiella pneumoniae,0.5220
sim08,r9_raw,GCF_000801165.1,4827630,plasmid_1,NZ_CP090454.1,2994,small,26,Escherichia coli,0.4559
sim08,r9_raw,GCF_000801165.1,4827630,plasmid_2,NZ_CP025145.1,149158,large,1,Klebsiella pneumoniae,0.5294
sim09,r10_hq,GCF_000801185.2,4884464,plasmid_1,NZ_CP086428.1,5359,small,26,Klebsiella pneumoniae,0.5214
sim09,r10_hq,GCF_000801185.2,4884464,plasmid_2,NZ_CP083516.1,3888,small,24,Escherichia coli,0.4856
sim09,r10_hq,GCF_000801185.2,4884464,plasmid_3,NZ_CP083265.1,4543,small,25,Escherichia coli,0.4539
sim09,r10_hq,GCF_000801185.2,4884464,plasmid_4,NZ_CP130267.1,87935,medium,5,Klebsiella pneumoniae,0.5393
sim09,r10_hq,GCF_000801185.2,4884464,plasmid_5,NZ_CP018339.1,204862,large,2,Klebsiella pneumoniae,0.4482
sim10,r9_raw,GCF_000814145.2,4761012,plasmid_1,CP124981.1,5874,small,19,Escherichia coli,0.4751
sim10,r9_raw,GCF_000814145.2,4761012,plasmid_2,NZ_CP070447.1,10405,medium,6,Klebsiella pneumoniae,0.5029
sim10,r9_raw,GCF_000814145.2,4761012,plasmid_3,NZ_CP010365.1,70092,medium,6,Enterobacter hormaechei,0.5143
sim11,r10_hq,GCF_000597845.1,4758629,plasmid_1,NZ_OW968282.1,2815,small,12,Klebsiella oxytoca,0.4746
sim11,r10_hq,GCF_000597845.1,4758629,plasmid_2,CP082590.1,2421,small,33,Salmonella enterica,0.5151
sim11,r10_hq,GCF_000597845.1,4758629,plasmid_3,NZ_CP050048.1,105583,large,1,Escherichia coli,0.5290
sim12,r9_raw,GCF_000599625.1,4807977,plasmid_1,NZ_LR890552.1,4660,small,38,Klebsiella pneumoniae,0.4380
sim12,r9_raw,GCF_000599625.1,4807977,plasmid_2,NZ_CP058190.1,2495,small,23,Enterobacter hormaechei,0.5146
sim12,r9_raw,GCF_000599625.1,4807977,plasmid_3,NZ_CP122709.1,64864,medium,2,Escherichia coli,0.5214
sim12,r9_raw,GCF_000599625.1,4807977,plasmid_4,NZ_CP129617.1,210264,large,1,Klebsiella oxytoca,0.5153
