segment,seg_len,node_positive,mechanisms
edge_1,210246,0,
edge_2,553,0,
edge_3,5321,0,
edge_4,932,0,
edge_5,3725,0,
edge_6,2822401,0,
edge_7,1225540,0,
edge_8,871,0,
edge_9,32865,0,
edge_10,219772,0,
edge_11,288562,0,
edge_12,2363,0,
edge_13,1245,0,
edge_14,950,0,
edge_15,3183,0,
edge_16,4325,0,
edge_17,48492,0,
edge_18,30107,0,
edge_19,8602,1,fragmented
edge_20,2368,0,
edge_21,1616,0,
edge_22,56309,1,fragmented
edge_23,4781,0,
edge_24,3975,0,
edge_25,780,0,
edge_26,789,0,
edge_27,7525,0,
edge_28,3955,0,
