isolate,arm,chromosome_acc,chromosome_len,plasmid_name,plasmid_acc,plasmid_len,plasmid_len_original,stratum,stratum_designed,analysis_set,copy_number,organism,gc,repeat_family,repeat_role,repeat_copies_in_plasmid,repeat_bases_in_plasmid,repeat_frac,cointegrated,isolate_seed
sim01,r10_hq,GCF_000597845.1,4758629,plasmid_1,NZ_CP148459.1,3589,3589,tiny,tiny,deterministic_tiny,30,Escherichia coli,0.4335,,,0,0,0.0,false,20360811
sim01,r10_hq,GCF_000597845.1,4758629,plasmid_2,NZ_CP126777.1,4891,4891,small,small,interventional,20,Enterobacter hormaechei,0.3412,,,0,0,0.0,false,20360811
sim01,r10_hq,GCF_000597845.1,4758629,plasmid_3,CP100017.1,65277,65277,medium,medium,interventional,3,Escherichia coli,0.4408,,,0,0,0.0,false,20360811
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_1,CP080757.1,8643,8643,small,small,interventional,12,Klebsiella pneumoniae,0.5683,,,0,0,0.0,false,20360812
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_2,NZ_CP045016.1,82240,82240,medium,medium,interventional,4,Klebsiella pneumoniae,0.5189,,,0,0,0.0,false,20360812
sim02,r9_raw,GCF_000599625.1,4807977,plasmid_3,NZ_AP014611.1,169829,169829,large,large,interventional,1,Serratia marcescens,0.5200,,,0,0,0.0,false,20360812
sim03,r10_hq,GCF_000599645.1,4879357,plasmid_1,NZ_CP137190.1,3428,3428,tiny,tiny,deterministic_tiny,35,Citrobacter freundii,0.4953,IS_sim03,frag,0,0,0.0,false,20360813
sim03,r10_hq,GCF_000599645.1,4879357,plasmid_2,NZ_CP083065.1,7701,5251,small,small,interventional,27,Klebsiella pneumoniae,0.4925,IS_sim03,frag,2,2450,0.31814,false,20360813
sim03,r10_hq,GCF_000599645.1,4879357,plasmid_3,NZ_CP016551.1,11070,7395,small,small,interventional,12,Escherichia coli,0.4408,IS_sim03,frag,3,3675,0.33198,false,20360813
sim03,r10_hq,GCF_000599645.1,4879357,plasmid_4,NZ_CP077825.1,49579,49579,medium,medium,interventional,3,Klebsiella pneumoniae,0.5133,IS_sim03,frag,0,0,0.0,false,20360813
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_1,NZ_CP074010.1,9174,9174,small,small,interventional,12,Escherichia coli,0.4374,,,0,0,0.0,false,20360814
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_2,NZ_CP018654.1,33784,33784,medium,medium,interventional,6,Salmonella enterica,0.5020,,,0,0,0.0,false,20360814
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_3,NZ_CP037905.1,98254,98254,medium,medium,interventional,2,Escherichia coli,0.4705,,,0,0,0.0,false,20360814
sim04,r9_raw,GCF_000599665.1,5054509,plasmid_4,NZ_MF156697.1,144939,144939,large,large,interventional,2,Escherichia coli,0.5185,,,0,0,0.0,false,20360814
sim05,r10_hq,GCF_000599685.1,5015121,plasmid_1,NZ_CP148444.1,2835,2835,tiny,tiny,deterministic_tiny,22,Escherichia coli,0.4850,IS_sim05,absorb,0,0,0.0,false,20360815
sim05,r10_hq,GCF_000599685.1,5015121,plasmid_2,NZ_CP023647.1,8401,8401,small,small,interventional,1,Shigella sonnei,0.5541,IS_sim05,absorb,0,0,0.0,true,20360815
sim05,r10_hq,GCF_000599685.1,5015121,plasmid_3,NZ_MZ342958.1,87232,87232,medium,medium,interventional,4,Citrobacter werkmanii,0.5160,IS_sim05,absorb,0,0,0.0,false,20360815
sim05,r10_hq,GCF_000599685.1,5015121,plasmid_4,CP110485.1,230118,230118,large,large,interventional,2,Klebsiella pneumoniae,0.5255,IS_sim05,absorb,0,0,0.0,false,20360815
sim06,r9_raw,GCF_000599705.1,5090442,plasmid_1,CP035011.1,8398,8398,small,small,interventional,17,Shigella sonnei,0.5542,,,0,0,0.0,false,20360816
