plasmid,plasmid_len,label,best_segment,best_cov_frac,best_segment_len,cumulative_cov_frac,n_support,support
p00_len07590_cp08,7590,gray_50_95,edge_4,0.6358,4758196,0.6358,1,edge_4
p01_len07768_cp15,7768,absent,edge_1,0.3063,15883,0.3063,1,edge_1
p02_len07980_cp25,7980,absent,edge_1,0.1441,15883,0.1441,1,edge_1
p03_len08236_cp08,8236,absent,edge_4,0.1872,4758196,0.1872,1,edge_4
p04_len08398_cp15,8398,recovered,edge_3,1.0,10217,1.0,1,edge_3
p05_len08401_cp25,8401,recovered,edge_3,1.0,10217,1.0,1,edge_3
p06_len08401_cp08,8401,gray_50_95,edge_3,0.8782,10217,0.8782,1,edge_3
p07_len08622_cp15,8622,absent,,0.0,0,0.0,0,
p08_len08828_cp25,8828,recovered,edge_14,0.9997,8828,0.9997,1,edge_14
p09_len09083_cp08,9083,recovered,edge_2,1.0,16533,1.0,2,edge_2;edge_4
p10_len09250_cp15,9250,recovered,edge_1,1.0,15883,1.0,1,edge_1
p11_len09294_cp25,9294,fragmented,edge_6,0.9002,9480,1.0,2,edge_6;edge_7
p12_len09294_cp08,9294,fragmented,edge_6,0.9002,9480,1.0,2,edge_6;edge_7
p13_len09294_cp15,9294,fragmented,edge_6,0.8994,9480,0.9992,2,edge_6;edge_7
p14_len09396_cp25,9396,recovered,edge_8,1.0,18792,1.0,1,edge_8
p15_len09639_cp08,9639,recovered,edge_11,1.0,9638,1.0,1,edge_11
p16_len09730_cp15,9730,recovered,edge_16,0.9821,9737,0.9821,1,edge_16
p17_len10046_cp25,10046,absent,edge_6,0.3006,9480,0.3006,1,edge_6
p18_len10060_cp08,10060,gray_50_95,edge_7,0.5645,12290,0.8429,2,edge_16;edge_7
p19_len10060_cp15,10060,gray_50_95,edge_7,0.5645,12290,0.8544,3,edge_16;edge_6;edge_7
p20_len10060_cp25,10060,gray_50_95,edge_16,0.4486,9737,0.8405,3,edge_16;edge_6;edge_7
p21_len10494_cp08,10494,recovered,edge_15,1.0,10494,1.0,1,edge_15
p22_len10650_cp15,10650,recovered,edge_12,1.0,10648,1.0,1,edge_12
p23_len10802_cp25,10802,recovered,edge_5,1.0,10803,1.0,1,edge_5
p24_len11246_cp08,11246,recovered,edge_10,1.0,11245,1.0,1,edge_10
p25_len11675_cp15,11675,recovered,edge_9,1.0,11675,1.0,1,edge_9
p26_len11857_cp25,11857,recovered,edge_13,1.0,22537,1.0,1,edge_13
