plasmid,plasmid_len,label,best_segment,best_cov_frac,best_segment_len,cumulative_cov_frac,n_support,support
p00_len07590_cp08,7590,gray_50_95,edge_2,0.6448,4752384,0.6448,1,edge_2
p01_len07768_cp15,7768,absent,,0.0,0,0.0,0,
p02_len07980_cp25,7980,absent,,0.0,0,0.0,0,
p03_len08236_cp08,8236,absent,,0.0,0,0.0,0,
p04_len08398_cp15,8398,gray_50_95,edge_2,0.6093,4752384,0.6093,1,edge_2
p05_len08401_cp25,8401,gray_50_95,edge_2,0.6093,4752384,0.6093,1,edge_2
p06_len08401_cp08,8401,gray_50_95,edge_2,0.6093,4752384,0.6093,1,edge_2
p07_len08622_cp15,8622,absent,,0.0,0,0.0,0,
p08_len08828_cp25,8828,absent,,0.0,0,0.0,0,
p09_len09083_cp08,9083,absent,edge_2,0.2412,4752384,0.2412,1,edge_2
p10_len09250_cp15,9250,absent,edge_12,0.1173,11215,0.1445,1,edge_12
p11_len09294_cp25,9294,gray_50_95,edge_1,0.9172,16689,0.9172,1,edge_1
p12_len09294_cp08,9294,gray_50_95,edge_1,0.8157,16689,0.8157,1,edge_1
p13_len09294_cp15,9294,gray_50_95,edge_1,0.8809,16689,0.8809,1,edge_1
p14_len09396_cp25,9396,gray_50_95,edge_3,0.8992,17962,0.8992,1,edge_3
p15_len09639_cp08,9639,absent,edge_2,0.1893,4752384,0.1893,1,edge_2
p16_len09730_cp15,9730,gray_50_95,edge_5,0.6383,9731,0.9365,2,edge_1;edge_5
p17_len10046_cp25,10046,recovered,edge_7,1.0,10046,1.0,1,edge_7
p18_len10060_cp08,10060,recovered,edge_11,1.0,20131,1.0,1,edge_11
p19_len10060_cp15,10060,recovered,edge_11,1.0,20131,1.0,1,edge_11
p20_len10060_cp25,10060,recovered,edge_11,1.0,20131,1.0,1,edge_11
p21_len10494_cp08,10494,recovered,edge_9,1.0,10494,1.0,1,edge_9
p22_len10650_cp15,10650,absent,,0.0,0,0.0,0,
p23_len10802_cp25,10802,recovered,edge_4,1.0,10802,1.0,1,edge_4
p24_len11246_cp08,11246,recovered,edge_12,0.9971,11215,0.9971,1,edge_12
p25_len11675_cp15,11675,recovered,edge_10,1.0,11675,1.0,1,edge_10
p26_len11857_cp25,11857,recovered,edge_6,1.0,23708,1.0,1,edge_6
