tag,segment,log10_length,relative_depth,delta_gc,degree,component_size,n_components,depth_x_length,_raw_len,_raw_depth,_gc
sim01_d50,edge_1,6.67748,1.0,0.0,0,1,2,6.67748,4758623,47.0,0.51106
sim01_d50,edge_2,4.92888,3.51064,0.01251,0,1,2,17.3035,84894,165.0,0.52357
sim01_lig_d15,edge_1,3.88559,10.64286,-0.06226,0,1,11,41.35375,7684,149.0,0.44872
sim01_lig_d15,edge_2,3.74679,1.42857,-0.083,0,1,11,5.35256,5582,20.0,0.42798
sim01_lig_d15,edge_3,4.56103,3.35714,0.00553,3,7,11,15.31203,36394,47.0,0.51651
sim01_lig_d15,edge_4,3.74351,0.07143,-0.02398,0,1,11,0.26739,5540,1.0,0.487
sim01_lig_d15,edge_5,3.65963,0.35714,-0.50376,0,1,11,1.30701,4567,5.0,0.00723
sim01_lig_d15,edge_6,3.51375,1.07143,-0.26098,0,1,11,3.76473,3264,15.0,0.25
sim01_lig_d15,edge_7,6.29458,1.0,0.00343,2,7,11,6.29458,1970513,14.0,0.51441
sim01_lig_d15,edge_8,6.02188,1.0,0.00523,1,7,11,6.02188,1051663,14.0,0.51622
sim01_lig_d15,edge_9,5.80574,0.92857,0.00093,1,7,11,5.39104,639345,13.0,0.51191
sim01_lig_d15,edge_10,6.02136,1.0,-0.01224,2,7,11,6.02136,1050414,14.0,0.49875
sim01_lig_d15,edge_11,3.82033,1.42857,0.00596,2,7,11,5.45762,6612,20.0,0.51694
sim01_lig_d15,edge_12,3.53263,0.07143,-0.02286,0,1,11,0.25233,3409,1.0,0.48812
sim01_lig_d15,edge_13,3.53339,0.71429,-0.02313,0,1,11,2.52385,3415,10.0,0.48785
sim01_lig_d15,edge_14,2.73799,4.92857,0.0466,0,1,11,13.49437,547,69.0,0.55759
sim01_lig_d15,edge_15,3.74695,3.42857,-0.08459,0,1,11,12.84667,5584,48.0,0.4264
sim01_lig_d15,edge_16,3.7428,1.35714,-0.02391,0,1,11,5.07952,5531,19.0,0.48707
sim01_lig_d15,edge_17,4.68577,3.07143,0.01785,1,7,11,14.392,48503,43.0,0.52883
sim01_lig_d30,edge_1,6.56713,1.0,0.00349,2,3,8,6.56713,3690851,28.0,0.5145
sim01_lig_d30,edge_2,6.02136,1.0,-0.01226,2,3,8,6.02136,1050422,28.0,0.49875
sim01_lig_d30,edge_3,3.82099,1.5,0.0053,2,3,8,5.73148,6622,42.0,0.51631
sim01_lig_d30,edge_4,2.93651,1.28571,0.15681,0,1,8,3.77552,864,36.0,0.66782
sim01_lig_d30,edge_5,2.81224,0.07143,-0.00562,2,3,8,0.20087,649,2.0,0.50539
sim01_lig_d30,edge_6,2.93651,2.75,-0.00754,2,3,8,8.07541,864,77.0,0.50347
sim01_lig_d30,edge_7,2.72016,3.85714,-0.00625,2,3,8,10.49204,525,108.0,0.50476
sim01_lig_d30,edge_8,2.91751,0.32143,0.48052,0,1,8,0.93777,827,9.0,0.99154
sim01_lig_d30,edge_9,3.65963,0.17857,-0.50247,0,1,8,0.65351,4567,5.0,0.00854
sim01_lig_d30,edge_10,4.18662,4.14286,-0.06229,0,1,8,17.34456,15368,116.0,0.44872
sim01_lig_d30,edge_11,4.9293,2.85714,0.01305,0,1,8,14.08372,84977,80.0,0.52406
sim01_lig_d30,edge_12,3.35813,0.71429,-0.01167,0,1,8,2.39866,2281,20.0,0.49934
sim01_rap_d15,edge_1,6.21539,1.07692,0.00362,2,12,5,6.69349,1642055,14.0,0.51473
sim01_rap_d15,edge_2,4.37863,3.07692,-0.01088,3,12,5,13.47272,23913,40.0,0.50023
sim01_rap_d15,edge_3,6.00054,1.0,0.00296,1,12,5,6.00054,1001235,13.0,0.51408
